Registro_ID,Año,Trimestre,Ingresos_VFR,Ingresos_Satelital,TiempoTrim_ID,Periodo,Ingresos_Total,share_vfr_%,share_sat_%,VFR_QoQ_%,VFR_YoY_%,VFR_MM4,Sat_QoQ_%,Sat_YoY_%,Sat_MM4,Total_QoQ_%,Total_YoY_%,Total_MM4
35,2016,3,8293761.49,4653224.18,20163,2016Q3,12946985.67,64.05940117179415,35.94059882820586,12.78767378535286,35.279896356112616,7282950.890000001,5.731631468882914,35.29427150714015,4189777.1574999997,10.14581527863092,35.28506251980852,11472728.0475
34,2016,4,8517141.2,5016640.95,20164,2016Q4,13533782.149999999,62.93245380782193,37.06754619217808,2.693346200868363,34.18680926113926,7825429.475,7.8099991735193,38.000708945827746,4535130.297499999,4.53230191920031,35.575685651082665,12360559.772499999
33,2017,1,9607361.15,5262244.08,20171,2017Q1,14869605.23,64.61073445727249,35.38926554272753,12.800303815557278,34.60615469593271,8442923.205,4.895768552062707,29.303644473852607,4833271.41,9.87028655548443,32.68062680948678,13276194.615
32,2017,2,9936138.83,5764634.74,20172,2017Q2,15700773.57,63.284390324469854,36.715609675530146,3.4221434467465617,35.12252388680852,9088600.6675,9.547080149881616,30.985358174254074,5174185.9875,5.589713560942999,33.57352432852663,14262786.655
31,2017,3,10764742.4,6093649.61,20173,2017Q3,16858392.01,63.85390963512183,36.146090364878155,8.339291390516944,29.793247767967834,9706345.895,5.707471242141526,30.955427339845045,5534292.345000001,7.373002577477461,30.210942065559586,15240638.24
30,2017,4,11642559.21,6844906.43,20174,2017Q4,18487465.64,62.97542041030131,37.024579589698696,8.15455472487665,36.695622822362054,10487700.3975,12.328520149355926,36.44401698710369,5991358.715,9.663280039007693,36.602358713155446,16479059.1125
29,2018,1,12277309.95,7145424.82,20181,2018Q1,19422734.77,63.2110261267806,36.7889738732194,5.451986359277439,27.790657167082756,11155187.5975,4.3903944206290735,35.78664750951652,6462153.9,5.058936407034742,30.62037942213749,17617341.4975
28,2018,2,13358361.56,7797684.06,20182,2018Q2,21156045.62,63.142053103589404,36.857946896410596,8.80528075289002,34.44217908537415,12010743.280000001,9.128347948946702,35.26761732001773,6970416.23,8.924133859240268,34.745243765718484,18981159.509999998
27,2018,3,14197598.63,8179603.0,20183,2018Q3,22377201.630000003,63.44671181299982,36.55328818700016,6.282485065481347,31.889813080896403,12868957.337499999,4.897850913954582,34.23159392979931,7491904.577500001,5.772137345202055,32.736275302688256,20360861.915
26,2018,4,15211246.86,8270871.03,20184,2018Q4,23482117.89,64.77800227073129,35.22199772926871,7.139575194484826,30.65208933560577,13761129.25,1.115800241160847,20.83249222736272,7848395.727500001,4.937687376059974,27.01642478887658,21609524.9775
25,2019,1,17479491.54,8816484.13,20191,2019Q1,26295975.67,66.47211633961783,33.527883660382166,14.911628881420969,42.37232432174607,15061674.6475,6.596803384080818,23.386423510085997,8266160.555000001,11.982981233555169,35.3876062325491,23327835.2025
24,2019,2,18392209.47,9937613.38,20192,2019Q2,28329822.85,64.92172424579775,35.07827575420225,5.2216503432685135,37.68312369290294,16320136.625,12.716285011903029,27.443139572392482,8801142.885,7.734442735738956,33.90887578356432,25121279.51
23,2019,3,20284731.23,10896197.62,20193,2019Q3,31180928.85,65.0549293370393,34.945070662960696,10.289801032806544,42.87438149672498,17841919.775,9.646020662558708,33.211815047747415,9480291.54,10.063973979279584,39.34239573636982,27322211.314999998
