Registro_ID,Año,Trimestre,TV_VFR,TV_Satelital,TiempoTrim_ID,Periodo,Total,share_vfr_%,share_sat_%,VFR_QoQ_%,VFR_YoY_%,VFR_MM4,Sat_QoQ_%,Sat_YoY_%,Sat_MM4,Total_QoQ_%,Total_YoY_%,Total_MM4
34,2016,4,6553801,2662031,20164,2016Q4,9215832,71.11458846037992,28.885411539620083,0.23582286871584035,0.733142517593488,6533069.0,1.2740523073247356,4.903078093166413,2618028.5,0.5335268406283289,1.9032008095790864,9151097.5
33,2017,1,6603332,2531404,20171,2017Q1,9134736,72.28815370252627,27.71184629747373,0.7557599017730343,1.5005275364172288,6557474.0,-4.907042780493542,-0.3091851743917018,2616065.75,-0.8799639576763107,0.9924745994098094,9173539.75
32,2017,2,6766484,2576258,20172,2017Q2,9342742,72.42503325040978,27.574966749590217,2.4707526442711014,3.5520273458189866,6615499.75,1.7719020748959924,-2.4988967886141022,2599558.75,2.2770882486368604,1.8097529309933469,9215058.5
31,2017,3,6767020,2592551,20173,2017Q3,9359571,72.30053599678874,27.69946400321126,0.00792139610468201,3.4968590088495954,6672659.25,0.6324288949321133,-1.3692381556010935,2590561.0,0.18012913125504681,2.1015446402741,9263220.25
30,2017,4,6826025,2562320,20174,2017Q4,9388345,72.70743672074258,27.292563279257422,0.8719495435213664,4.153681199658021,6740715.25,-1.1660715642623831,-3.745673885841294,2565633.25,0.3074286203929688,1.8719199742356363,9306348.5
29,2018,1,6932176,2466902,20181,2018Q1,9399078,73.75378733956671,26.246212660433287,1.555092458641738,4.979970717813376,6822926.25,-3.7238908489181655,-2.5480721370433113,2549507.75,0.11432259892452112,2.8938110526675276,9372434.0
28,2018,2,6930762,2502826,20182,2018Q2,9433588,73.46899186184514,26.531008138154853,-0.020397635605329256,2.427819233740891,6863995.75,1.4562394452637406,-2.850335641849533,2531149.75,0.3671636728623806,0.9723697818049493,9395145.5
27,2018,3,7043550,2536706,20183,2018Q3,9580256,73.52152176309275,26.47847823690724,1.6273535290924679,4.086436865858234,6933128.25,1.3536698116449086,-2.154055985783887,2517188.5,1.5547424797436538,2.357853794794651,9450316.75
26,2018,4,6911972,2474558,20184,2018Q4,9386530,73.63713747252713,26.36286252747288,-1.8680636894747638,1.2591076065499252,6954615.0,-2.4499488707008243,-3.4250991289144217,2495248.0,-2.022138030549492,-0.01933248085791428,9449863.0
25,2019,1,6971691,2473124,20191,2019Q1,9444815,73.81500855231151,26.184991447688493,0.8639936620113531,0.5700230346142421,6964493.75,-0.057949742943996796,0.25221918017011014,2496803.5,0.6209429895818852,0.4866115591337872,9461297.25
24,2019,2,7048709,2460177,20192,2019Q2,9508886,74.12760022572571,25.872399774274296,1.1047248077977079,1.7017897887706912,6993980.5,-0.523507919538202,-1.7040337602374223,2486141.25,0.6783722073963272,0.7981904658121541,9480121.75
23,2019,3,7156690,2460927,20193,2019Q3,9617617,74.41229984516954,25.58770015483045,1.5319259172140498,1.6062922815909486,7022265.5,0.03048561140113204,-2.987299277093991,2467196.5,1.1434672789220501,0.38997914043215065,9489462.0
22,2019,4,7296185,2459872,20194,2019Q4,9756057,74.78620717365632,25.213792826343674,1.9491552659120392,5.558659670496358,7118318.75,-0.04287002418194019,-0.5934797244598888,2463525.0,1.439441807674391,3.9367796193055415,9581843.75
21,2020,1,7221911,2456768,20201,2020Q1,9678679,74.61670130810207,25.38329869189793,-1.0179840560512132,3.5890862059147377,7180873.75,-0.12618542753444206,-0.6613497746170482,2459436.0,-0.7931277974288165,2.4761099079230187,9640309.75
20,2020,2,7224135,2453731,20202,2020Q2,9677866,74.64594984059502,25.354050159404977,0.030795173188935543,2.4887678013094217,7224730.25,-0.12361769609503526,-0.2620136681222518,2457824.5,-0.00839990664015522,1.7770746226213996,9682554.75
19,2020,3,7329433,2451671,20203,2020Q3,9781104,74.93461883239357,25.06538116760644,1.4575862715743737,2.413727575177904,7267916.0,-0.08395378303489576,-0.37611843016879254,2455510.5,1.0667434329014291,1.6998701445482878,9723426.5
18,2020,4,7332508,2320365,20204,2020Q4,9652873,75.96192346050756,24.03807653949244,0.041954132059052185,0.4978355126685985,7276996.75,-5.355775713788679,-5.671311352785835,2420633.75,-1.3110074282003392,-1.0576403971399473,9697630.5
17,2021,1,7346948,2261855,20211,2021Q1,9608803,76.46059556013375,23.539404439866235,0.19693125462665328,1.7313561465933214,7308256.0,-2.5215860435750415,-7.933716166931514,2371905.5,-0.45654801425440983,-0.7219580275366067,9680161.5
16,2021,2,7333071,2326029,20212,2021Q2,9659100,75.91878125291176,24.081218747088236,-0.18888115173810727,1.5079452418870876,7335490.0,2.8372287348216396,-5.204400971418632,2339980.0,0.5234470932539592,-0.1939063839073607,9675470.0
15,2021,3,7676892,2147571,20213,2021Q3,9824463,78.14057623302159,21.85942376697841,4.688635907111771,4.740598624750381,7422354.75,-7.672217328330822,-12.403785010305214,2263955.0,1.7119918004782964,0.4432935177869579,9686309.75
14,2021,4,7596758,2010217,20214,2021Q4,9606975,79.07544258208229,20.92455741791771,-1.0438338848586137,3.6038146838707874,7488417.25,-6.395783887936646,-13.366345381006873,2186418.0,-2.213739315828256,-0.47548538139888796,9674835.25
