registro_id,anio,trimestre,tv_vfr_hab,tv_sat_hab,tv_vfr_hog,tv_sat_hog,tiempo_trim_id,fecha,tv_vfr_hab_qoq,tv_vfr_hab_yoy,tv_sat_hab_qoq,tv_sat_hab_yoy,tv_vfr_hog_qoq,tv_vfr_hog_yoy,tv_sat_hog_qoq,tv_sat_hog_yoy
13,2022,1,16.41,4.45,52.61,14.25,20221,2022-01-01,-0.10999999999999943,0.3200000000000003,0.08000000000000007,-0.5,-0.38000000000000256,0.8699999999999974,0.23000000000000043,-1.6799999999999997
12,2022,2,16.55,4.47,53.01,14.31,20222,2022-04-01,0.14000000000000057,0.5300000000000011,0.019999999999999574,-0.6100000000000003,0.3999999999999986,1.5300000000000011,0.0600000000000005,-2.019999999999998
11,2022,3,16.56,4.46,52.97,14.27,20223,2022-07-01,0.00999999999999801,-0.1700000000000017,-0.009999999999999787,-0.21999999999999975,-0.03999999999999915,-0.75,-0.040000000000000924,-0.7599999999999998
10,2022,4,16.55,3.96,52.9,12.66,20224,2022-10-01,-0.00999999999999801,0.030000000000001137,-0.5,-0.41000000000000014,-0.07000000000000028,-0.09000000000000341,-1.6099999999999994,-1.3599999999999994
9,2023,1,16.71,3.8,53.36,12.13,20231,2023-01-01,0.16000000000000014,0.3000000000000007,-0.16000000000000014,-0.6500000000000004,0.46000000000000085,0.75,-0.5299999999999994,-2.119999999999999
8,2023,2,17.32,3.72,55.29,11.88,20232,2023-04-01,0.6099999999999994,0.7699999999999996,-0.07999999999999963,-0.7499999999999996,1.9299999999999997,2.280000000000001,-0.25,-2.4299999999999997
7,2023,3,16.57,3.6,52.84,11.49,20233,2023-07-01,-0.75,0.010000000000001563,-0.1200000000000001,-0.8599999999999999,-2.4499999999999957,-0.12999999999999545,-0.39000000000000057,-2.7799999999999994
6,2023,4,16.34,3.22,52.05,10.26,20234,2023-10-01,-0.23000000000000043,-0.21000000000000085,-0.3799999999999999,-0.7399999999999998,-0.7900000000000063,-0.8500000000000014,-1.2300000000000004,-2.4000000000000004
5,2024,1,16.2,3.08,51.55,9.8,20241,2024-01-01,-0.14000000000000057,-0.5100000000000016,-0.14000000000000012,-0.7199999999999998,-0.5,-1.8100000000000023,-0.4599999999999991,-2.33
4,2024,2,15.85,2.91,50.4,9.24,20242,2024-04-01,-0.34999999999999964,-1.4700000000000006,-0.16999999999999993,-0.81,-1.1499999999999986,-4.890000000000001,-0.5600000000000005,-2.6400000000000006
3,2024,3,16.02,2.48,50.89,7.89,20243,2024-07-01,0.16999999999999993,-0.5500000000000007,-0.43000000000000016,-1.12,0.490000000000002,-1.9500000000000028,-1.3500000000000005,-3.6000000000000005
2,2024,4,16.15,2.26,51.26,7.18,20244,2024-10-01,0.129999999999999,-0.19000000000000128,-0.2200000000000002,-0.9600000000000004,0.36999999999999744,-0.7899999999999991,-0.71,-3.08
1,2025,1,16.03,2.26,50.82,7.16,20251,2025-01-01,-0.11999999999999744,-0.16999999999999815,0.0,-0.8200000000000003,-0.4399999999999977,-0.7299999999999969,-0.019999999999999574,-2.6400000000000006
