Registro_ID,Provincia_ID,Año,Trimestre,Provincias,Accesos telefonía fija cada 100 hab,Accesos telefonía fija cada 100 hogares,TiempoTrim_ID,Periodo,PenHab_QoQ_%,PenHab_YoY_%,PenHog_QoQ_%,PenHog_YoY_%
943,18,2015,2,San Juan,13.65,53.58,20152,2015Q2,2.1706586826347296,7.734806629834257,2.1739130434782705,7.741805751055697
919,18,2015,3,San Juan,13.95,54.77,20153,2015Q3,2.19780219780219,9.669811320754707,2.2209779768570526,9.737527549589275
895,18,2015,4,San Juan,14.06,55.19,20154,2015Q4,0.7885304659498216,8.487654320987659,0.7668431623151228,8.470911949685522
871,18,2016,1,San Juan,15.32,60.16,20161,2016Q1,8.961593172119485,14.67065868263473,9.005254575104193,14.721586575133493
847,18,2016,2,San Juan,14.37,56.4,20162,2016Q2,-6.201044386422982,5.274725274725256,-6.25,5.263157894736836
823,18,2016,3,San Juan,15.01,58.92,20163,2016Q3,4.453723034098811,7.598566308243737,4.468085106382991,7.5771407704947835
799,18,2016,4,San Juan,15.19,59.65,20164,2016Q4,1.1992005329780175,8.036984352773825,1.238968092328574,8.081174125747426
775,18,2017,1,San Juan,15.32,60.16,20171,2017Q1,0.8558262014483287,0.0,0.8549874266554847,0.0
751,18,2017,2,San Juan,14.37,56.4,20172,2017Q2,-6.201044386422982,0.0,-6.25,0.0
727,18,2017,3,San Juan,15.01,58.92,20173,2017Q3,4.453723034098811,0.0,4.468085106382991,0.0
703,18,2017,4,San Juan,15.19,59.65,20174,2017Q4,1.1992005329780175,0.0,1.238968092328574,0.0
679,18,2018,1,San Juan,15.12,59.37,20181,2018Q1,-0.4608294930875556,-1.3054830287206332,-0.46940486169321227,-1.3131648936170248
655,18,2018,2,San Juan,15.08,59.21,20182,2018Q2,-0.2645502645502562,4.940848990953373,-0.2694963786424087,4.9822695035460995
631,18,2018,3,San Juan,15.04,59.04,20183,2018Q3,-0.2652519893899252,0.19986675549632515,-0.28711366323256327,0.20366598778003286
607,18,2018,4,San Juan,15.01,58.92,20184,2018Q4,-0.19946808510638014,-1.1849901250822859,-0.20325203252031798,-1.2238055322715824
583,18,2019,1,San Juan,11.16,43.79,20191,2019Q1,-25.649566955363092,-26.190476190476186,-25.678886625933472,-26.242209870304865
559,18,2019,2,San Juan,10.89,42.75,20192,2019Q2,-2.4193548387096753,-27.785145888594165,-2.3749714546700162,-27.79935821651748
535,18,2019,3,San Juan,10.65,41.81,20193,2019Q3,-2.203856749311295,-29.188829787234038,-2.1988304093567224,-29.183604336043356
511,18,2019,4,San Juan,10.37,40.72,20194,2019Q4,-2.6291079812206686,-30.912724850099938,-2.607031810571636,-30.889341479972853
487,18,2020,1,San Juan,10.08,39.59,20201,2020Q1,-2.796528447444546,-9.677419354838712,-2.7750491159135415,-9.591230874628899
463,18,2020,2,San Juan,9.89,38.82,20202,2020Q2,-1.8849206349206282,-9.182736455463726,-1.9449355897954157,-9.192982456140353
439,18,2020,3,San Juan,9.56,37.54,20203,2020Q3,-3.33670374115268,-10.23474178403756,-3.297269448737772,-10.212867734991637
415,18,2020,4,San Juan,9.54,37.44,20204,2020Q4,-0.20920502092051096,-8.003857280617165,-0.2663825253063412,-8.055009823182713
391,18,2021,1,San Juan,9.61,37.74,20211,2021Q1,0.7337526205450695,-4.662698412698418,0.8012820512820706,-4.672897196261683
367,18,2021,2,San Juan,9.59,37.64,20212,2021Q2,-0.20811654526534662,-3.0333670374115385,-0.2649708532061479,-3.0396702730551284
343,18,2021,3,San Juan,9.56,37.54,20213,2021Q3,-0.31282586027110426,0.0,-0.2656748140276388,0.0
319,18,2021,4,San Juan,8.49,33.34,20214,2021Q4,-11.192468619246865,-11.006289308176086,-11.188066062866264,-10.950854700854684
295,18,2022,1,San Juan,8.06,31.65,20221,2022Q1,-5.064782096584208,-16.129032258064502,-5.068986202759462,-16.136724960254377
271,18,2022,2,San Juan,7.76,30.47,20222,2022Q2,-3.7220843672456705,-19.08237747653806,-3.728278041074251,-19.04888416578109
247,18,2022,3,San Juan,7.74,30.39,20223,2022Q3,-0.2577319587628857,-19.037656903765686,-0.2625533311453876,-19.0463505594033
223,18,2022,4,San Juan,6.73,26.42,20224,2022Q4,-13.04909560723514,-20.730270906949343,-13.063507732806844,-20.75584883023396
199,18,2023,1,San Juan,7.69,30.18,20231,2023Q1,14.264487369985135,-4.590570719602982,14.23164269492807,-4.644549763033168
175,18,2023,2,San Juan,8.15,32.01,20232,2023Q2,5.981794538361518,5.025773195876293,6.063618290258455,5.054151624548742
151,18,2023,3,San Juan,8.13,31.93,20233,2023Q3,-0.24539877300613355,5.03875968992249,-0.2499218994064356,5.06745640013162
127,18,2023,4,San Juan,6.82,26.76,20234,2023Q4,-16.11316113161132,1.3372956909361022,-16.19166927654243,1.2869038607115746
103,18,2024,1,San Juan,7.38,30.5,20241,2024Q1,8.211143695014655,-4.031209362808852,13.97608370702541,1.060304837640813
79,18,2024,2,San Juan,7.36,30.42,20242,2024Q2,-0.27100271002709064,-9.69325153374233,-0.2622950819672121,-4.96719775070289
55,18,2024,3,San Juan,7.34,30.34,20243,2024Q3,-0.27173913043478937,-9.717097170971723,-0.2629848783694988,-4.97964296899468
