LinkIndec;Provincia;Partido;Localidad;Velocidad;Accesos;Rango_Velocidad
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;61,0;31;50–100 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;100,0;2;100–300 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;226,5;25;100–300 Mbps
6007020;BUENOS AIRES;Adolfo Alsina;Colonia San Miguel Arcángel;3,0;208;0–10 Mbps
6007020;BUENOS AIRES;Adolfo Alsina;Colonia San Miguel Arcángel;226,5;9;100–300 Mbps
6007030;BUENOS AIRES;Adolfo Alsina;Delfín Huergo;226,5;4;100–300 Mbps
6007050;BUENOS AIRES;Adolfo Alsina;Esteban Agustín Gascón;3,0;60;0–10 Mbps
6007050;BUENOS AIRES;Adolfo Alsina;Esteban Agustín Gascón;226,5;3;100–300 Mbps
6007060;BUENOS AIRES;Adolfo Alsina;La Pala;226,5;3;100–300 Mbps
6007070;BUENOS AIRES;Adolfo Alsina;Maza;0,0;10;0–10 Mbps
6007070;BUENOS AIRES;Adolfo Alsina;Maza;0,5;2;0–10 Mbps
6007070;BUENOS AIRES;Adolfo Alsina;Maza;5,0;386;0–10 Mbps
6007070;BUENOS AIRES;Adolfo Alsina;Maza;10,0;6;10–30 Mbps
6007070;BUENOS AIRES;Adolfo Alsina;Maza;20,0;2;10–30 Mbps
6007070;BUENOS AIRES;Adolfo Alsina;Maza;226,5;15;100–300 Mbps
6007080;BUENOS AIRES;Adolfo Alsina;Rivera;0,0;1;0–10 Mbps
6007080;BUENOS AIRES;Adolfo Alsina;Rivera;20,0;1;10–30 Mbps
6007080;BUENOS AIRES;Adolfo Alsina;Rivera;35,0;26;30–50 Mbps
6007080;BUENOS AIRES;Adolfo Alsina;Rivera;50,0;31;50–100 Mbps
6007080;BUENOS AIRES;Adolfo Alsina;Rivera;226,5;9;100–300 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Thames;226,5;3;100–300 Mbps
6007100;BUENOS AIRES;Adolfo Alsina;Villa Margarita;226,5;2;100–300 Mbps
6007110;BUENOS AIRES;Adolfo Alsina;Yutuyaco;226,5;18;100–300 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);1,0;2;0–10 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);3,0;57;0–10 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);5,0;2;0–10 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);6,0;28;0–10 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);8,0;310;0–10 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);10,0;217;10–30 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);12,0;1;10–30 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);15,0;1;10–30 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);30,0;44;30–50 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);50,0;1;50–100 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);226,5;34;100–300 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;0,0;26;0–10 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;4,0;573;0–10 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;7,0;38;0–10 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;8,0;28;0–10 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;10,0;59;10–30 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;15,0;18;10–30 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;226,5;18;100–300 Mbps
6014030;BUENOS AIRES;Adolfo Gonzales Chaves;Juan E. Barra;4,0;48;0–10 Mbps
6014030;BUENOS AIRES;Adolfo Gonzales Chaves;Juan E. Barra;226,5;13;100–300 Mbps
6014040;BUENOS AIRES;Adolfo Gonzales Chaves;Vásquez;3,0;12;0–10 Mbps
6014040;BUENOS AIRES;Adolfo Gonzales Chaves;Vásquez;4,0;2;0–10 Mbps
6014040;BUENOS AIRES;Adolfo Gonzales Chaves;Vásquez;226,5;3;100–300 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);0,0;1;0–10 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);1,0;2;0–10 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);2,0;1;0–10 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);3,0;8;0–10 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);5,0;1;0–10 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);6,0;7;0–10 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);9,0;1;0–10 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);10,0;42;10–30 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);15,0;142;10–30 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);226,5;16;100–300 Mbps
6021020;BUENOS AIRES;Alberti;Coronel Seguí;15,0;5;10–30 Mbps
6021020;BUENOS AIRES;Alberti;Coronel Seguí;226,5;2;100–300 Mbps
6021030;BUENOS AIRES;Alberti;Mechita;3,0;275;0–10 Mbps
6021030;BUENOS AIRES;Alberti;Mechita;5,0;10;0–10 Mbps
6021030;BUENOS AIRES;Alberti;Mechita;226,5;7;100–300 Mbps
6021040;BUENOS AIRES;Alberti;Pla;226,5;4;100–300 Mbps
6021050;BUENOS AIRES;Alberti;Villa Grisolía  (Est. Achupallas);226,5;9;100–300 Mbps
6021060;BUENOS AIRES;Alberti;Villa María;226,5;1;100–300 Mbps
6021070;BUENOS AIRES;Alberti;Villa Ortiz  (Est. Coronel Mom);15,0;24;10–30 Mbps
6021070;BUENOS AIRES;Alberti;Villa Ortiz  (Est. Coronel Mom);226,5;1;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;0,0;1;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;1,0;25;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;2,0;8;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;3,0;4;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;4,0;7;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;0,5;4;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;5,0;2;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;6,0;14;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;8,0;10;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;10,0;21;10–30 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;15,0;1;10–30 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;25,0;1;10–30 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;0,26;1;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;30,0;12;30–50 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;3,5;14;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;46,0;47;30–50 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;50,0;510;50–100 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;0,51;1;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;0,75;2;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;99,0;224;50–100 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;100,0;4;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;101,0;232;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;200,0;59;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;300,0;11;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;301,0;9;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;302,0;326;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;400,0;147;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;499,0;2;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;500,0;608;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;600,0;1;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;700,0;22;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;800,0;235;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;940,0;834;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;999,0;135;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;1000,0;411;>1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Adrogué;226,5;16;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;0,0;53;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;1,0;19;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;2,0;77;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;3,0;5;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;4,0;115;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;0,5;3;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;6,0;80;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;8,0;1;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;10,0;16;10–30 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;15,0;1;10–30 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;20,0;1;10–30 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;0,26;1;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;30,0;20;30–50 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;3,5;3;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;45,0;1;30–50 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;46,0;51;30–50 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;50,0;418;50–100 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;0,51;1;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;0,75;7;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;99,0;534;50–100 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;100,0;4;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;101,0;196;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;200,0;93;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;300,0;10;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;301,0;3;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;302,0;232;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;400,0;101;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;499,0;9;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;500,0;524;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;600,0;1;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;700,0;25;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;800,0;234;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;940,0;802;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;999,0;541;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;1000,0;906;>1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Burzaco;226,5;41;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;0,0;1;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;3,0;2;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;6,0;1;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;10,0;2;10–30 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;30,0;1;30–50 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;45,0;1;30–50 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;46,0;18;30–50 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;50,0;133;50–100 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;0,75;2;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;99,0;185;50–100 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;100,0;1;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;101,0;29;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;200,0;15;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;300,0;4;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;301,0;2;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;302,0;65;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;400,0;13;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;499,0;5;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;500,0;153;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;600,0;410;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;700,0;12;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;800,0;76;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;940,0;253;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;999,0;297;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;1000,0;444;>1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Claypole;226,5;2;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Don Orione;10,0;1;10–30 Mbps
6028010;BUENOS AIRES;Almirante Brown;Don Orione;99,0;192;50–100 Mbps
6028010;BUENOS AIRES;Almirante Brown;Don Orione;499,0;4;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Don Orione;999,0;247;300–1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Don Orione;1000,0;390;>1000 Mbps
6028010;BUENOS AIRES;Almirante Brown;Don Orione;226,5;11;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;0,0;1;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;2,0;15;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;4,0;29;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;6,0;9;0–10 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;10,0;3;10–30 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;30,0;11;30–50 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;45,0;43;30–50 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;46,0;5;30–50 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;50,0;204;50–100 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;99,0;183;50–100 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;100,0;2;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;101,0;115;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;200,0;64;100–300 Mbps
6028010;BUENOS AIRES;Almirante Brown;Glew;300,0;8;300–1000 Mbps
