68;Santa Cruz;Santa Cruz;2014-T3;2014;3;25664;4460;26110;28.23;8.34;17862;492;385;4273;3098;26110;195;1624;24248;1;1;0;0;0;26069;3.31
69;Santa Fe;Santa Fe;2014-T3;2014;3;520196;6910;520887;49.20;15.44;325577;183630;4407;6540;733;520887;8230;112593;357615;23962;12124;38;806;0;515368;3.38
70;Santiago Del Estero;Santiago Del Estero;2014-T3;2014;3;37539;90;37548;16.49;4.08;32820;3900;19;768;41;37548;791;9914;23826;2867;142;0;0;0;37540;3.10
71;Tierra Del Fuego;Tierra Del Fuego;2014-T3;2014;3;28037;7550;28792;65.69;19.34;21840;3469;650;1;2832;28792;12;336;32348;2;0;0;0;0;32698;3.47
72;Tucumán;Tucumán;2014-T3;2014;3;131978;880;132066;33.94;8.38;131739;97;117;13;100;132066;6;32716;84668;14101;559;4;0;0;132054;3.35
73;Buenos Aires;Buenos Aires;2014-T4;2014;4;2801178;15229;2816407;56.09;17.01;1575978;1070135;120528;17728;32038;2816407;8226;132937;2250445;203620;104322;997;5406;0;2705954;4.20
74;CABA;CABA;2014-T4;2014;4;1318526;11994;1330520;114.90;43.60;455785;840224;17155;1962;15394;1330520;2698;62896;1038269;123451;95772;890;7997;0;1331972;4.78
75;Catamarca;Catamarca;2014-T4;2014;4;25472;210;25493;25.51;6.46;25192;241;16;0;44;25493;21;8047;14093;2910;421;0;1;0;25493;3.34
76;Chaco;Chaco;2014-T4;2014;4;65998;370;66035;21.87;5.81;55024;10918;31;0;62;66035;483;12837;42106;7908;2600;124;2;0;66060;3.98
77;Chubut;Chubut;2014-T4;2014;4;66557;1985;68542;40.25;12.22;48539;697;891;12256;6159;68542;1858;6218;60392;70;0;0;0;0;68538;3.17
78;Córdoba;Córdoba;2014-T4;2014;4;590113;3190;590432;54.70;16.66;345157;240452;419;3918;486;590432;1903;85362;427844;41947;30858;1177;782;0;589873;4.09
79;Corrientes;Corrientes;2014-T4;2014;4;65656;540;65710;23.56;6.17;54754;9526;40;1315;75;65710;40;13860;42182;7513;2106;0;9;0;65710;3.81
80;Entre Ríos;Entre Ríos;2014-T4;2014;4;140567;2460;140813;36.03;10.72;112291;23027;57;5178;260;140813;2311;27801;88649;18318;3584;1;66;0;140730;3.80
81;Formosa;Formosa;2014-T4;2014;4;26156;510;26207;17.96;4.55;21245;4896;1;0;65;26207;1947;7830;14058;1852;473;47;1;0;26208;3.02
82;Jujuy;Jujuy;2014-T4;2014;4;35999;30;36002;19.60;4.98;31349;4583;22;37;11;36002;1880;10427;19740;3443;465;0;0;0;35955;3.13
83;La Pampa;La Pampa;2014-T4;2014;4;56813;5670;57380;51.27;16.82;16043;34281;514;5894;648;57380;6266;6879;36520;26;5;4;10;0;49710;2.75
84;La Rioja;La Rioja;2014-T4;2014;4;16379;230;16402;17.01;4.50;16352;0;17;0;33;16402;9;4333;9728;1943;386;0;3;0;16402;3.58
85;Mendoza;Mendoza;2014-T4;2014;4;167766;1848;169614;32.64;9.06;151797;13030;2534;31;2222;169614;303;19;169222;36;14;5;12;0;169611;3.50
86;Misiones;Misiones;2014-T4;2014;4;77222;70;77229;24.16;6.54;58435;18613;16;150;15;77229;547;11840;53093;8731;2952;54;12;0;77229;4.03
87;Neuquén;Neuquén;2014-T4;2014;4;92999;2397;95396;52.55;15.53;47721;31778;1014;11853;3030;95396;1731;2744;80938;126;3621;2;66;0;89228;3.85
88;Río Negro;Río Negro;2014-T4;2014;4;95050;121;96260;45.48;13.89;66307;23703;901;3819;1530;96260;3640;4723;85094;94;2319;4;30;0;95904;3.54
89;Salta;Salta;2014-T4;2014;4;93921;260;93947;29.53;7.10;76026;17289;48;6;578;93947;54;16214;63221;12552;1922;0;4;0;93967;3.86
90;San Juan;San Juan;2014-T4;2014;4;51390;7290;52119;28.04;7.10;48653;451;740;1202;1073;52119;11;478;51628;0;0;0;2;0;52119;3.48
91;San Luis;San Luis;2014-T4;2014;4;12788;3590;13147;9.79;2.78;11419;926;355;24;423;13147;9;0;13135;0;0;1;2;0;13147;3.50
92;Santa Cruz;Santa Cruz;2014-T4;2014;4;25277;4360;25713;27.80;8.16;17553;448;388;4395;2929;25713;156;1400;24145;1;1;0;0;0;25703;3.33
93;Santa Fe;Santa Fe;2014-T4;2014;4;528459;9380;529397;50.00;15.66;335267;183009;3205;6282;1634;529397;8707;99962;359293;36718;21098;869;824;0;527471;3.78
94;Santiago Del Estero;Santiago Del Estero;2014-T4;2014;4;39308;90;39317;17.27;4.26;34110;4231;19;920;37;39317;1246;8913;24181;4359;602;0;0;0;39301;3.46
95;Tierra Del Fuego;Tierra Del Fuego;2014-T4;2014;4;28249;7410;28990;66.14;19.34;21948;3664;655;1;2722;28990;12;283;31489;2;0;0;0;0;31786;3.47
96;Tucumán;Tucumán;2014-T4;2014;4;137329;950;137424;35.32;8.69;137093;97;116;13;105;137424;17;28746;85091;20631;2733;196;0;0;137414;3.86
97;Buenos Aires;Buenos Aires;2015-T1;2015;1;2847076;14766;2861842;56.37;17.24;1583135;1096836;134177;18754;28940;2861842;8882;123589;2267852;220070;126958;1561;5700;0;2754612;4.32
98;CABA;CABA;2015-T1;2015;1;1321139;11582;1332721;114.90;43.66;454934;841743;19334;1994;14716;1332721;2545;59084;1013510;134151;114569;1195;8401;0;1333455;5.00
