ID_Penetracion;ID_Periodo;ID_Provincias;Accesos_telefonía_fija_cada_100_hab;Accesos_telefonía_fija_cada_100_hogares;Hogares;Comercial;Gobierno;Otros;Total
208;2023-T4;Río Negro;9,25;30,08;61702;6618;275;928;69523
209;2023-T4;Salta;5,23;21,59;66426;7125;296;999;74846
210;2023-T4;San Juan;6,82;26,76;47476;5092;211;714;53493
211;2023-T4;San Luis;5,46;19,09;24780;2658;110;373;27921
212;2023-T4;Santa Cruz;6,04;20,29;19793;2123;88;298;22302
213;2023-T4;Santa Fe;12,74;40,51;401053;43017;1785;6032;451887
214;2023-T4;Santiago del Estero;6,02;24,25;52473;5628;234;789;59124
215;2023-T4;Tierra del Fuego;8,42;28,4;13093;1404;58;197;14752
216;2023-T4;Tucumán;8,62;34,81;130314;13977;580;1960;146831
217;2022-T1;Buenos Aires;17,51;53,12;2735498;266125;11364;49088;3062075
218;2022-T1;CABA;46,59;112,15;1279557;124483;5316;22962;1432318
219;2022-T1;Catamarca;7,28;28,62;26940;2621;112;483;30156
220;2022-T1;Chaco;7,07;26,43;75774;7372;315;1360;84821
221;2022-T1;Chubut;9,93;32,39;54598;5312;227;980;61117
222;2022-T1;Córdoba;15,44;50,43;516972;50294;2148;9277;578691
223;2022-T1;Corrientes;7,96;30,22;79448;7729;330;1426;88933
224;2022-T1;Entre Ríos;13,72;45,9;169391;16479;704;3040;189614
225;2022-T1;Formosa;5,6;22,02;30216;2940;126;542;33824
226;2022-T1;Jujuy;6,34;24,79;43490;4231;181;780;48682
227;2022-T1;La Pampa;19,2;58,27;61301;5964;255;1100;68620
228;2022-T1;La Rioja;7,02;26,35;24556;2389;102;441;27488
229;2022-T1;Mendoza;8,25;29,56;146185;14222;607;2623;163637
230;2022-T1;Misiones;7,27;26,68;81592;7938;339;1464;91333
231;2022-T1;Neuquén;9,96;33,45;58821;5722;244;1056;65843
232;2022-T1;Río Negro;9,59;31,17;63757;6203;265;1144;71369
233;2022-T1;Salta;7,69;31,74;97423;9478;405;1748;109054
234;2022-T1;San Juan;8,06;31,65;56073;5455;233;1006;62767
235;2022-T1;San Luis;5,94;20,76;26864;2613;112;482;30071
236;2022-T1;Santa Cruz;6,55;22,02;21232;2065;88;381;23766
237;2022-T1;Santa Fe;17,82;56,67;561564;54632;2333;10077;628606
238;2022-T1;Santiago del Estero;6,92;27,9;60303;5867;251;1082;67503
239;2022-T1;Tierra del Fuego;10,44;35,23;16050;1561;67;288;17966
240;2022-T1;Tucumán;10,96;44,23;165226;16074;686;2965;184951
241;2022-T2;Buenos Aires;12,98;39,29;2802796;264038;12029;49568;3128431
242;2022-T2;CABA;32,84;79,15;1400437;131928;6010;24767;1563142
243;2022-T2;Catamarca;6,53;25,69;22473;2117;96;397;25083
244;2022-T2;Chaco;5,66;21,17;57950;5459;249;1025;64683
245;2022-T2;Chubut;9,5;30,99;48601;4579;209;860;54249
246;2022-T2;Córdoba;12,93;42,23;443560;41786;1904;7845;495095
247;2022-T2;Corrientes;8,11;30,78;79748;7513;342;1410;89013
248;2022-T2;Entre Ríos;11,68;39,05;143480;13517;616;2538;160151
249;2022-T2;Formosa;5,8;22,8;31523;2970;135;558;35186
250;2022-T2;Jujuy;4,87;19,03;31944;3009;137;565;35655
251;2022-T2;La Pampa;19,02;57,74;59445;5600;255;1051;66351
252;2022-T2;La Rioja;6,69;25,15;22924;2159;98;405;25586
253;2022-T2;Mendoza;6,93;24,83;145977;13752;627;2582;162938
254;2022-T2;Misiones;6,08;22,31;68398;6444;294;1210;76346
255;2022-T2;Neuquén;10,68;35,88;61543;5798;264;1088;68693
256;2022-T2;Río Negro;8,78;28,55;60348;5685;259;1067;67359
257;2022-T2;Salta;6,32;26,08;77373;7289;332;1368;86362
258;2022-T2;San Juan;7,76;30,47;47306;4457;203;837;52803
259;2022-T2;San Luis;5;17,46;24822;2338;107;439;27706
260;2022-T2;Santa Cruz;6,34;21,31;20594;1940;88;364;22986
261;2022-T2;Santa Fe;14,45;45,96;439437;41397;1886;7772;490492
262;2022-T2;Santiago del Estero;6,43;25,9;58153;5478;250;1028;64909
263;2022-T2;Tierra del Fuego;11,05;37,26;13289;1252;57;235;14833
264;2022-T2;Tucumán;9,97;40,25;145875;13742;626;2580;162823
265;2022-T3;Buenos Aires;17,74;53,56;2791694;265040;11756;48270;3116760
266;2022-T3;CABA;50,97;123;1404441;133336;5914;24284;1567975
267;2022-T3;Catamarca;6,16;24,23;22971;2181;97;397;25646
268;2022-T3;Chaco;5,43;20,33;58715;5574;247;1015;65551
269;2022-T3;Chubut;9,46;30,85;52576;4991;221;909;58697
270;2022-T3;Córdoba;12,93;42,22;436156;41408;1837;7541;486942
271;2022-T3;Corrientes;8,02;30,44;80594;7651;339;1393;89977
272;2022-T3;Entre Ríos;11,33;37,88;140805;13368;593;2435;157201
273;2022-T3;Formosa;5,82;22,86;31577;2998;133;546;35254
274;2022-T3;Jujuy;4,66;18,23;32252;3062;136;558;36008
275;2022-T3;La Pampa;18,45;55,99;59307;5630;250;1025;66212
276;2022-T3;La Rioja;6,45;24,24;22793;2164;96;394;25447
277;2022-T3;Mendoza;6,94;24,89;124018;11774;522;2144;138458
278;2022-T3;Misiones;6,06;22,26;68616;6514;289;1186;76605
279;2022-T3;Neuquén;10,98;36,89;65457;6214;276;1132;73079
280;2022-T3;Río Negro;8,69;28,26;58320;5537;246;1008;65111
281;2022-T3;Salta;6,15;25,39;78622;7464;331;1359;87776
282;2022-T3;San Juan;7,74;30,39;54269;5152;229;938;60588
283;2022-T3;San Luis;4,98;17,41;22726;2158;96;393;25373
284;2022-T3;Santa Cruz;6,21;20,87;20419;1939;86;353;22797
285;2022-T3;Santa Fe;14,06;44,7;445778;42322;1877;7708;497685
286;2022-T3;Santiago del Estero;6,39;25,75;56091;5325;236;970;62622
287;2022-T3;Tierra del Fuego;10,98;37,04;17128;1626;72;296;19122
288;2022-T3;Tucumán;9,64;38,94;146684;13926;618;2536;163764
289;2022-T4;Buenos Aires;17,76;53,5;2802796;264038;12029;49568;3128431
