Registro_ID,Año,Trimestre,Minutos pospago salientes,Minutos prepago salientes,Total de Minutos salientes,TiempoTrim_ID,Periodo,porc_pospago_min,porc_prepago_min,Total_min_QoQ_%,Total_min_YoY_%,Total_min_MovAvg4
22,2019,4,11828877,6567190,18396067,20194,2019Q4,64.30111936426411,35.69888063573589,-9.218359399732023,-14.551140811970232,19796289.0
21,2020,1,13764635,6211879,19976514,20201,2020Q1,68.90408907179702,31.09591092820299,8.591222243319718,-1.9045091288184657,19699328.75
20,2020,2,14584356,5949100,20533456,20202,2020Q2,71.02728347337145,28.972716526628545,2.787983929528437,1.8491714379659685,19792530.0
19,2020,3,14536705,5696019,20232724,20203,2020Q3,71.84749319963046,28.152506800369544,-1.4645951465744544,-0.1547516361830925,19784690.25
18,2020,4,14421377,5768783,20190160,20204,2020Q4,71.42774995344267,28.572250046557336,-0.21037206853610213,9.752590050905985,20233213.5
17,2021,1,12992366,5469581,18461947,20211,2021Q1,70.37375852070207,29.62624147929793,-8.559679566680012,-7.581738235209611,19854571.75
16,2021,2,13869978,5354043,19224021,20212,2021Q2,72.14920333264305,27.850796667356946,4.127809488349188,-6.377080409649505,19527213.0
15,2021,3,13152393,5440364,18592757,20213,2021Q3,70.73933682885223,29.260663171147776,-3.283725085402267,-8.105517576377752,19117221.25
14,2021,4,12944094,5456088,18400182,20214,2021Q4,70.3476411265932,29.652358873406797,-1.0357527934130473,-8.865595914049218,18669726.75
13,2022,1,12362900,3586127,15949027,20221,2022Q1,77.51507349006306,22.48492650993694,-13.321362799563607,-13.611348792194022,18041496.75
12,2022,2,12436524,3776195,16212719,20222,2022Q2,76.70844107024861,23.29155892975139,1.6533422383697705,-15.66426711664537,17288671.25
11,2022,3,12556822,3870172,16426994,20223,2022Q3,76.44016915085012,23.559830849149883,1.3216475287087803,-11.648423092928073,16747230.5
10,2022,4,11890577,3721056,15611632,20224,2022Q4,76.16485579470486,23.83515061077535,-4.9635496305654,-15.15501314063089,16050093.0
9,2023,1,10980979,3469826,14450805,20231,2023Q1,75.98870097548199,24.011299024518014,-7.435654388983803,-9.393814431438352,15675537.5
8,2023,2,10577765,3493298,14071063,20232,2023Q2,75.17388700484106,24.82611299515893,-2.627825923884519,-13.20972749851521,15140123.5
7,2023,3,10354887,3639908,13994795,20233,2023Q3,73.99098736351623,26.00901263648378,-0.5420201728895679,-14.806111209391082,14532073.75
6,2023,4,10147854,3673245,13821099,20234,2023Q4,73.42291665807473,26.577083341925267,-1.2411471550672903,-11.469223717289779,14084440.5
5,2024,1,9619808,3771708,13391517,20241,2024Q1,71.83508783956292,28.164904693023203,-3.108160935682469,-7.330304436327251,13819618.5
4,2024,2,8837499,3595205,12432705,20242,2024Q2,71.08267267662185,28.91731928007622,-7.1598460428344275,-11.643455792927659,13410029.0
3,2024,3,8407215,3599378,12006593,20243,2024Q3,70.02165393629983,29.97834606370017,-3.4273474678278015,-14.20672471443848,12912978.5
2,2024,4,8152013,3484293,11636306,20244,2024Q4,70.05670871838538,29.94329128161463,-3.0840305821976277,-15.807664788451337,12366780.25
1,2025,1,7217197,3053029,10270226,20251,2025Q1,70.27301054524018,29.726989454759806,-11.739808148737241,-23.307971755552416,11586457.5
