Año,Trimestre,Provincia,Banda Ancha Fija,Dial Up,Total,Periodo
2023,2,La Pampa,118744,1660,118910,2023-T2
2023,2,La Rioja,86968,40,86972,2023-T2
2023,2,Mendoza,296921,7550,297676,2023-T2
2023,2,Misiones,195471,0,195471,2023-T2
2023,2,Neuquén,161289,4570,161746,2023-T2
2023,2,Río Negro,162848,5310,163379,2023-T2
2023,2,Salta,205323,50,205328,2023-T2
2023,2,San Juan,97189,2600,97449,2023-T2
2023,2,San Luis,140575,1730,140748,2023-T2
2023,2,Santa Cruz,48410,1920,48602,2023-T2
2023,2,Santa Fe,895706,1080,895814,2023-T2
2023,2,Santiago Del Estero,117807,20,117809,2023-T2
2023,2,Tierra Del Fuego,58325,3100,58635,2023-T2
2023,2,Tucumán,263573,290,263602,2023-T2
2023,1,Buenos Aires,4814729,6199,4820928,2023-T1
2023,1,CABA,1546584,2145,1548729,2023-T1
2023,1,Catamarca,71491,10,71492,2023-T1
2023,1,Chaco,142437,50,142442,2023-T1
2023,1,Chubut,169149,9040,170053,2023-T1
2023,1,Córdoba,1049904,680,1049972,2023-T1
2023,1,Corrientes,157016,40,157020,2023-T1
2023,1,Entre Ríos,274856,220,274878,2023-T1
2023,1,Formosa,60985,0,60985,2023-T1
2023,1,Jujuy,117981,0,117981,2023-T1
2023,1,La Pampa,116333,1710,116504,2023-T1
2023,1,La Rioja,86401,40,86405,2023-T1
2023,1,Mendoza,292242,7770,293019,2023-T1
2023,1,Misiones,190685,0,190685,2023-T1
2023,1,Neuquén,159944,4680,160412,2023-T1
2023,1,Río Negro,163783,5480,164331,2023-T1
2023,1,Salta,205421,50,205426,2023-T1
2023,1,San Juan,101486,2810,101767,2023-T1
2023,1,San Luis,135281,1820,135463,2023-T1
2023,1,Santa Cruz,50163,1980,50361,2023-T1
2023,1,Santa Fe,886164,1100,886274,2023-T1
2023,1,Santiago Del Estero,118553,20,118555,2023-T1
2023,1,Tierra Del Fuego,56801,3120,57113,2023-T1
2023,1,Tucumán,261070,300,261100,2023-T1
2022,4,Buenos Aires,4788466,6199,4794665,2022-T4
2022,4,CABA,1549781,2145,1551926,2022-T4
2022,4,Catamarca,70908,10,70909,2022-T4
2022,4,Chaco,143658,50,143663,2022-T4
2022,4,Chubut,167855,9040,168759,2022-T4
2022,4,Córdoba,1049592,680,1049660,2022-T4
2022,4,Corrientes,155449,40,155453,2022-T4
2022,4,Entre Ríos,270952,220,270974,2022-T4
2022,4,Formosa,61840,0,61840,2022-T4
2022,4,Jujuy,118218,0,118218,2022-T4
2022,4,La Pampa,113993,1710,114164,2022-T4
2022,4,La Rioja,86258,40,86262,2022-T4
2022,4,Mendoza,291327,7770,292104,2022-T4
2022,4,Misiones,186269,0,186269,2022-T4
2022,4,Neuquén,159712,4680,160180,2022-T4
2022,4,Río Negro,161544,5480,162092,2022-T4
2022,4,Salta,205855,50,205860,2022-T4
2022,4,San Juan,103545,2810,103826,2022-T4
2022,4,San Luis,135028,1920,135220,2022-T4
2022,4,Santa Cruz,50005,1980,50203,2022-T4
2022,4,Santa Fe,887581,1100,887691,2022-T4
2022,4,Santiago Del Estero,119492,20,119494,2022-T4
2022,4,Tierra Del Fuego,54948,3120,55260,2022-T4
2022,4,Tucumán,263392,300,263422,2022-T4
2022,3,Buenos Aires,4715469,6199,4721668,2022-T3
2022,3,CABA,1545534,2145,1547679,2022-T3
2022,3,Catamarca,70292,10,70293,2022-T3
2022,3,Chaco,144141,50,144146,2022-T3
2022,3,Chubut,164874,9040,165778,2022-T3
2022,3,Córdoba,1038600,680,1038668,2022-T3
2022,3,Corrientes,144842,40,144846,2022-T3
2022,3,Entre Ríos,268937,220,268959,2022-T3
2022,3,Formosa,68537,10,68538,2022-T3
2022,3,Jujuy,118823,0,118823,2022-T3
2022,3,La Pampa,115921,1710,116092,2022-T3
2022,3,La Rioja,86860,40,86864,2022-T3
2022,3,Mendoza,288746,7770,289523,2022-T3
2022,3,Misiones,182157,0,182157,2022-T3
2022,3,Neuquén,162693,4680,163161,2022-T3
2022,3,Río Negro,160010,5480,160558,2022-T3
2022,3,Salta,204536,50,204541,2022-T3
2022,3,San Juan,103118,2810,103399,2022-T3
2022,3,San Luis,121888,1820,122070,2022-T3
2022,3,Santa Cruz,49312,1980,49510,2022-T3
2022,3,Santa Fe,887700,1100,887810,2022-T3
2022,3,Santiago Del Estero,119030,20,119032,2022-T3
2022,3,Tierra Del Fuego,53584,3120,53896,2022-T3
2022,3,Tucumán,263087,300,263117,2022-T3
2022,2,Buenos Aires,4660984,6199,4667183,2022-T2
2022,2,CABA,1534626,2145,1536771,2022-T2
2022,2,Catamarca,67007,10,67008,2022-T2
2022,2,Chaco,143559,50,143564,2022-T2
2022,2,Chubut,161901,9040,162805,2022-T2
2022,2,Córdoba,1026367,680,1026435,2022-T2
2022,2,Corrientes,144993,40,144997,2022-T2
2022,2,Entre Ríos,269330,220,269352,2022-T2
2022,2,Formosa,67881,0,67881,2022-T2
2022,2,Jujuy,115314,0,115314,2022-T2
2022,2,La Pampa,111356,1710,111527,2022-T2
2022,2,La Rioja,86026,40,86030,2022-T2
2022,2,Mendoza,278785,7770,279562,2022-T2
2022,2,Misiones,178813,0,178813,2022-T2
2022,2,Neuquén,161500,4680,161968,2022-T2
2022,2,Río Negro,159216,5480,159764,2022-T2
2022,2,Salta,203172,50,203177,2022-T2
2022,2,San Juan,100126,2810,100407,2022-T2
2022,2,San Luis,121559,1820,121741,2022-T2
2022,2,Santa Cruz,48987,1980,49185,2022-T2
