"Año","Trimestre","Provincias","Accesos cada 100 Hogares","Accesos cada 100 Habitantes"
"2022","3","Entre Ríos","63,67","19,04"
"2022","3","Formosa","43,76","11,14"
"2022","3","Jujuy","58,91","15,06"
"2022","3","La Pampa","96,59","31,82"
"2022","3","La Rioja","80,66","21,47"
"2022","3","Mendoza","51,03","14,24"
"2022","3","Misiones","51,82","14,11"
"2022","3","Neuquén","80,37","23,92"
"2022","3","Río Negro","67,98","20,91"
"2022","3","Salta","57,76","13,99"
"2022","3","San Juan","50,80","12,94"
"2022","3","San Luis","81,74","23,39"
"2022","3","Santa Cruz","43,19","12,85"
"2022","3","Santa Fe","78,55","24,70"
"2022","3","Santiago Del Estero","47,98","11,91"
"2022","3","Tierra Del Fuego","99,51","29,50"
"2022","3","Tucumán","61,14","15,14"
"2022","2","Buenos Aires","77,58","26,13"
"2022","2","CABA","121,31","49,87"
"2022","2","Catamarca","62,40","15,87"
"2022","2","Chaco","43,79","11,70"
"2022","2","Chubut","83,19","25,50"
"2022","2","Córdoba","87,48","26,78"
"2022","2","Corrientes","48,35","12,73"
"2022","2","Entre Ríos","63,90","19,10"
"2022","2","Formosa","43,42","11,05"
"2022","2","Jujuy","57,32","14,66"
"2022","2","La Pampa","92,98","30,63"
"2022","2","La Rioja","80,14","21,33"
"2022","2","Mendoza","49,39","13,78"
"2022","2","Misiones","51,00","13,89"
"2022","2","Neuquén","80,02","23,82"
"2022","2","Río Negro","67,85","20,87"
"2022","2","Salta","57,54","13,94"
"2022","2","San Juan","49,46","12,60"
"2022","2","San Luis","81,76","23,40"
"2022","2","Santa Cruz","43,15","12,84"
"2022","2","Santa Fe","77,90","24,50"
"2022","2","Santiago Del Estero","47,70","11,84"
"2022","2","Tierra Del Fuego","99,86","29,60"
"2022","2","Tucumán","59,31","14,69"
"2022","1","Buenos Aires","76,08","25,56"
"2022","1","CABA","111,80","46,01"
"2022","1","Catamarca","58,21","14,81"
"2022","1","Chaco","44,06","11,78"
"2022","1","Chubut","88,05","26,99"
"2022","1","Córdoba","85,76","26,26"
"2022","1","Corrientes","47,64","12,55"
"2022","1","Entre Ríos","63,70","19,05"
"2022","1","Formosa","34,96","8,90"
"2022","1","Jujuy","58,06","14,85"
"2022","1","La Pampa","91,66","30,20"
"2022","1","La Rioja","78,77","20,97"
"2022","1","Mendoza","48,74","13,60"
"2022","1","Misiones","49,04","13,36"
"2022","1","Neuquén","74,17","22,08"
"2022","1","Río Negro","67,04","20,62"
"2022","1","Salta","56,11","13,59"
"2022","1","San Juan","43,55","11,09"
"2022","1","San Luis","80,72","23,10"
"2022","1","Santa Cruz","43,34","12,89"
"2022","1","Santa Fe","77,30","24,31"
"2022","1","Santiago Del Estero","47,17","11,71"
"2022","1","Tierra Del Fuego","98,29","29,14"
"2022","1","Tucumán","57,39","14,22"
"2021","4","Buenos Aires","75,66","25,36"
"2021","4","CABA","111,27","45,85"
"2021","4","Catamarca","55,25","14,05"
"2021","4","Chaco","44,05","11,77"
"2021","4","Chubut","82,57","25,31"
"2021","4","Córdoba","84,51","25,87"
"2021","4","Corrientes","45,51","11,98"
"2021","4","Entre Ríos","63,16","18,88"
"2021","4","Formosa","34,45","8,77"
"2021","4","Jujuy","56,92","14,56"
"2021","4","La Pampa","89,57","29,51"
"2021","4","La Rioja","77,92","20,74"
"2021","4","Mendoza","47,51","13,26"
"2021","4","Misiones","49,06","13,36"
"2021","4","Neuquén","73,30","21,82"
"2021","4","Río Negro","65,69","20,21"
"2021","4","Salta","56,81","13,76"
"2021","4","San Juan","39,59","10,08"
"2021","4","San Luis","80,30","22,98"
"2021","4","Santa Cruz","43,05","12,81"
"2021","4","Santa Fe","77,09","24,24"
"2021","4","Santiago Del Estero","47,05","11,68"
"2021","4","Tierra Del Fuego","98,40","29,17"
"2021","4","Tucumán","55,93","13,85"
"2021","3","Buenos Aires","71,68","23,97"
"2021","3","CABA","111,27","45,90"
"2021","3","Catamarca","52,71","13,41"
"2021","3","Chaco","42,96","11,48"
"2021","3","Chubut","80,71","24,74"
"2021","3","Córdoba","81,28","24,89"
"2021","3","Corrientes","44,90","11,82"
"2021","3","Entre Ríos","62,18","18,59"
"2021","3","Formosa","33,96","8,64"
"2021","3","Jujuy","55,69","14,24"
"2021","3","La Pampa","84,28","27,77"
"2021","3","La Rioja","77,26","20,57"
"2021","3","Mendoza","45,55","12,71"
"2021","3","Misiones","45,57","12,41"
"2021","3","Neuquén","69,71","20,75"
"2021","3","Río Negro","61,97","19,06"
"2021","3","Salta","55,96","13,55"
"2021","3","San Juan","39,46","10,05"
"2021","3","San Luis","79,87","22,86"
"2021","3","Santa Cruz","43,75","13,02"
"2021","3","Santa Fe","75,02","23,59"
"2021","3","Santiago Del Estero","47,00","11,66"
"2021","3","Tierra Del Fuego","94,95","28,15"
"2021","3","Tucumán","54,64","13,53"
"2021","2","Buenos Aires","70,00","23,35"
"2021","2","CABA","110,14","45,49"
"2021","2","Catamarca","52,34","13,31"
"2021","2","Chaco","43,33","11,58"
"2021","2","Chubut","72,29","22,16"
"2021","2","Córdoba","80,12","24,53"
"2021","2","Corrientes","43,54","11,47"
"2021","2","Entre Ríos","61,66","18,44"
"2021","2","Formosa","33,23","8,46"
"2021","2","Jujuy","56,18","14,37"
"2021","2","La Pampa","82,08","27,04"
"2021","2","La Rioja","76,98","20,49"
"2021","2","Mendoza","40,97","11,43"
"2021","2","Misiones","45,01","12,26"
"2021","2","Neuquén","69,14","20,58"
"2021","2","Río Negro","61,94","19,05"
"2021","2","Salta","54,93","13,30"
"2021","2","San Juan","39,28","10,01"
"2021","2","San Luis","83,48","23,89"
"2021","2","Santa Cruz","44,01","13,10"
"2021","2","Santa Fe","75,07","23,60"
"2021","2","Santiago Del Estero","46,56","11,55"
"2021","2","Tierra Del Fuego","67,89","20,13"
"2021","2","Tucumán","54,93","13,61"
"2021","1","Buenos Aires","69,11","23,00"
"2021","1","CABA","108,42","44,83"
"2021","1","Catamarca","48,90","12,44"
"2021","1","Chaco","43,14","11,53"
"2021","1","Chubut","68,99","21,15"
"2021","1","Córdoba","78,59","24,06"
"2021","1","Corrientes","42,66","11,23"
"2021","1","Entre Ríos","60,44","18,07"
"2021","1","Formosa","32,73","8,33"
"2021","1","Jujuy","55,63","14,23"
"2021","1","La Pampa","81,78","26,94"
"2021","1","La Rioja","49,81","13,26"
"2021","1","Mendoza","39,15","10,93"
"2021","1","Misiones","43,17","11,76"
"2021","1","Neuquén","66,84","19,90"
"2021","1","Río Negro","60,88","18,72"
"2021","1","Salta","53,93","13,06"
"2021","1","San Juan","39,06","9,95"
"2021","1","San Luis","81,24","23,25"
"2021","1","Santa Cruz","41,65","12,39"
"2021","1","Santa Fe","73,92","23,24"
