ID_Acceso_UT;ID_Localidad;ID_Tecnologia;Accesos
289;6056020;SATELITAL;93
290;6056020;FIBRA OPTICA;1
291;6056020;SATELITAL;70
292;6056020;SATELITAL;53
293;6056020;SATELITAL;5
294;6063010;ADSL;1038
295;6063010;CABLEMODEM;12098
296;6063010;DIAL UP;32
297;6063010;FIBRA OPTICA;45
298;6063010;Otros;9
299;6063010;SATELITAL;195
300;6063010;WIRELESS;883
301;6063020;Otros;9
302;6063020;SATELITAL;18
303;6063020;WIRELESS;30
304;6063030;FIBRA OPTICA;15
305;6063030;SATELITAL;21
306;6063030;WIRELESS;128
307;6063040;SATELITAL;22
308;6063040;WIRELESS;8
309;6063050;Otros;3
310;6063050;SATELITAL;14
311;6063050;WIRELESS;72
312;6063060;SATELITAL;34
313;6063060;WIRELESS;42
314;6070010;ADSL;573
315;6070010;CABLEMODEM;7513
316;6070010;FIBRA OPTICA;209
317;6070010;SATELITAL;165
318;6070010;WIRELESS;1858
319;6070020;SATELITAL;22
320;6070020;WIRELESS;78
321;6070030;SATELITAL;35
322;6070030;WIRELESS;55
323;6070040;ADSL;79
324;6070040;FIBRA OPTICA;1
325;6070040;Otros;10
326;6070040;SATELITAL;31
327;6070040;WIRELESS;248
328;6084010;DIAL UP;1
329;6084010;FIBRA OPTICA;11
330;6084010;SATELITAL;9
331;6084010;WIRELESS;70
332;6084020;ADSL;279
333;6084020;DIAL UP;13
334;6084020;FIBRA OPTICA;563
335;6084020;Otros;4
336;6084020;SATELITAL;39
337;6084020;WIRELESS;147
338;6084030;SATELITAL;7
339;6084030;WIRELESS;12
340;6084040;SATELITAL;20
341;6084050;FIBRA OPTICA;20
342;6084050;SATELITAL;9
343;6084050;WIRELESS;100
344;6091010;ADSL;12
345;6091010;CABLEMODEM;15917
346;6091010;DIAL UP;38
347;6091010;FIBRA OPTICA;32527
348;6091010;Otros;10
349;6091010;SATELITAL;33
350;6091010;WIRELESS;49
351;6091010;ADSL;16
352;6091010;CABLEMODEM;173
353;6091010;FIBRA OPTICA;16247
354;6091010;SATELITAL;10
355;6091010;ADSL;1
356;6091010;CABLEMODEM;1293
357;6091010;FIBRA OPTICA;2279
358;6091010;Otros;2
