Registro_ID,Provincia_ID,Año,Trimestre,Provincias,Hogares,Comercial,Gobierno,Otros,Total,TiempoTrim_ID,dif_total,Periodo,porc_hogares,porc_comercial,porc_gobierno,porc_otros
341,5,2021,3,Chubut,65869,5599,357,1261,73086,20213,0,2021Q3,90.1253318008921,7.660837916974524,0.48846564321484276,1.7253646389185344
343,6,2021,3,Corrientes,70346,5979,381,1347,78053,20213,0,2021Q3,90.12594006636516,7.660179621539211,0.4881298604794178,1.7257504516162097
342,7,2021,3,Córdoba,436222,37079,2365,8351,484017,20213,0,2021Q3,90.12534683699126,7.660681339705009,0.4886192013916867,1.7253526219120403
344,8,2021,3,Entre Ríos,147826,12565,802,2830,164023,20213,0,2021Q3,90.12516537314889,7.660511025892711,0.48895581717198194,1.7253677837864203
345,9,2021,3,Formosa,27462,2334,149,526,30471,20213,0,2021Q3,90.1250369203505,7.65974204981786,0.48898953102950343,1.7262314988021399
346,10,2021,3,Jujuy,31688,2693,172,607,35160,20213,0,2021Q3,90.12514220705347,7.659271899886234,0.4891922639362912,1.7263936291240047
347,11,2021,3,La Pampa,64644,5495,351,1238,71728,20213,0,2021Q3,90.12380102609859,7.660885567700201,0.48934865045728304,1.7259647557439215
348,12,2021,3,La Rioja,19479,1656,106,373,21614,20213,0,2021Q3,90.12214305542705,7.661700749514204,0.4904228740631072,1.725733320995651
349,13,2021,3,Mendoza,176671,15017,958,3382,196028,20213,0,2021Q3,90.12539025037239,7.660640316689453,0.48870569510478096,1.7252637378333706
350,14,2021,3,Misiones,71080,6042,385,1361,78868,20213,0,2021Q3,90.12527260739463,7.660901759902622,0.48815742760054776,1.7256682051021959
351,15,2021,3,Neuquén,66876,5684,363,1280,74203,20213,0,2021Q3,90.1257361562201,7.660067652251257,0.4891985499238576,1.724997641604787
352,16,2021,3,Río Negro,75456,6414,409,1445,83724,20213,0,2021Q3,90.12469542783431,7.660885767521858,0.488509865749367,1.7259089388944628
353,17,2021,3,Salta,84554,7187,458,1619,93818,20213,0,2021Q3,90.12556225884158,7.660576861583065,0.48817924065744317,1.7256816389179048
354,18,2021,3,San Juan,67447,5733,366,1291,74837,20213,0,2021Q3,90.12520544650373,7.6606491441399305,0.48906289669548486,1.7250825126608496
355,19,2021,3,San Luis,31031,2638,168,594,34431,20213,0,2021Q3,90.12517789201591,7.661700212018239,0.48793238651215476,1.72518950945369
356,20,2021,3,Santa Cruz,24299,2065,132,465,26961,20213,0,2021Q3,90.12647898816809,7.659211453581098,0.4895960832313341,1.7247134750194726
357,21,2021,3,Santa Fe,486509,41353,2638,9314,539814,20213,0,2021Q3,90.12530241898136,7.660601614630225,0.4886868439870029,1.7254091224014199
358,22,2021,3,Santiago del Estero,51711,4395,280,990,57376,20213,0,2021Q3,90.12653374233128,7.65999721137758,0.48800892359174564,1.7254601226993866
359,23,2021,3,Tierra del Fuego,19443,1653,105,372,21573,20213,0,2021Q3,90.1265470727298,7.662355722430816,0.4867195104992351,1.7243776943401474
360,24,2021,3,Tucumán,119923,10193,650,2296,133062,20213,0,2021Q3,90.12565570936857,7.660338789436503,0.4884940854639191,1.7255114157310125
313,1,2021,4,Buenos Aires,3012453,234051,14886,51980,3313370,20214,0,2021Q4,90.9180984918678,7.063835309669611,0.44927068211518784,1.5687955163474048
314,2,2021,4,CABA,1308400,101656,6465,22576,1439097,20214,0,2021Q4,90.91812435158992,7.063874082150126,0.44924004427776587,1.5687615219821875
315,3,2021,4,Catamarca,26944,2093,133,465,29635,20214,0,2021Q4,90.91952083684832,7.062594904673528,0.44879365614982286,1.569090602328328
316,4,2021,4,Chaco,82580,6416,408,1425,90829,20214,0,2021Q4,90.91809884508251,7.0638232282641,0.4491957414482159,1.5688821852051658
317,5,2021,4,Chubut,62015,4818,306,1070,68209,20214,0,2021Q4,90.91908692401296,7.063583984518172,0.4486211497016523,1.5687079417672154
319,6,2021,4,Corrientes,89073,6921,440,1537,97971,20214,0,2021Q4,90.91772054995866,7.064335364546652,0.4491124924722622,1.568831593022425
318,7,2021,4,Córdoba,530703,41233,2622,9157,583715,20214,0,2021Q4,90.91817068261052,7.063892481776208,0.44919181449851386,1.5687450211147564
320,8,2021,4,Entre Ríos,188688,14660,932,3256,207536,20214,0,2021Q4,90.91820214324262,7.063834708195205,0.4490787140544291,1.5688844345077482
321,9,2021,4,Formosa,33104,2572,164,571,36411,20214,0,2021Q4,90.91757985224245,7.063799401279833,0.45041333662904065,1.568207409848672
322,10,2021,4,Jujuy,40239,3126,199,694,44258,20214,0,2021Q4,90.91915585882778,7.06312982963532,0.4496362239595102,1.5680780875773872
323,11,2021,4,La Pampa,65235,5068,322,1126,71751,20214,0,2021Q4,90.91859346908056,7.063316190715112,0.4487742331117336,1.5693161070925843
324,12,2021,4,La Rioja,24334,1891,120,420,26765,20214,0,2021Q4,90.91724266766299,7.065197085746311,0.44834672146459925,1.5692135251260977
325,13,2021,4,Mendoza,185947,14447,919,3209,204522,20214,0,2021Q4,90.91784746873198,7.063787758774118,0.4493404132562756,1.569024359237637
326,14,2021,4,Misiones,89666,6966,443,1547,98622,20214,0,2021Q4,90.91886191721929,7.063332724949809,0.4491898359392428,1.5686155218916673
327,15,2021,4,Neuquén,66022,5129,326,1139,72616,20214,0,2021Q4,90.91935661562191,7.063181667951966,0.448936873416327,1.5685248430098049
328,16,2021,4,Río Negro,78450,6095,388,1354,86287,20214,0,2021Q4,90.91751944093548,7.063636468993012,0.44966217390800467,1.569181916163501
329,17,2021,4,Salta,109367,8497,540,1887,120291,20214,0,2021Q4,90.91868884621461,7.063703851493462,0.4489113898795421,1.5686959124124
330,18,2021,4,San Juan,60580,4707,299,1045,66631,20214,0,2021Q4,90.91864147318816,7.064279389473368,0.44874007594062826,1.5683390613978478
331,19,2021,4,San Luis,30022,2332,148,518,33020,20214,0,2021Q4,90.9206541490006,7.062386432465173,0.44821320411871596,1.5687462144155058
332,20,2021,4,Santa Cruz,25220,1960,125,435,27740,20214,0,2021Q4,90.91564527757751,7.065609228550828,0.45061283345349673,1.5681326604181687
333,21,2021,4,Santa Fe,596238,46324,2946,10288,655796,20214,0,2021Q4,90.91821237092023,7.063782029777553,0.44922506389182004,1.5687805354104019
334,22,2021,4,Santiago del Estero,60596,4708,299,1046,66649,20214,0,2021Q4,90.9180932947231,7.063871926060406,0.44861888400426114,1.5694158952122312
335,23,2021,4,Tierra del Fuego,17217,1338,85,297,18937,20214,0,2021Q4,90.9172519406453,7.065533083381739,0.44885673549136607,1.568358240481597
336,24,2021,4,Tucumán,150653,11705,744,2600,165702,20214,0,2021Q4,90.9180335783515,7.063885770841631,0.44899880508382517,1.569081845723045
289,1,2022,1,Buenos Aires,2735498,266125,11364,49088,3062075,20221,0,2022Q1,89.33478115330291,8.691002016606387,0.3711208902459933,1.603095939844713
290,2,2022,1,CABA,1279557,124483,5316,22962,1432318,20221,0,2022Q1,89.33470081364612,8.691016938975842,0.3711466308459434,1.603135616532083
291,3,2022,1,Catamarca,26940,2621,112,483,30156,20221,0,2022Q1,89.33545563072025,8.69147101737631,0.3714020427112349,1.6016713091922006
292,4,2022,1,Chaco,75774,7372,315,1360,84821,20221,0,2022Q1,89.33400926657313,8.691243913653459,0.37137029744992395,1.603376522323481
293,5,2022,1,Chubut,54598,5312,227,980,61117,20221,0,2022Q1,89.3335733102083,8.691526089304121,0.37141875419277776,1.6034818462948117
295,6,2022,1,Corrientes,79448,7729,330,1426,88933,20221,0,2022Q1,89.33466767116818,8.690812184453465,0.3710658585676858,1.6034542858106664
294,7,2022,1,Córdoba,516972,50294,2148,9277,578691,20221,0,2022Q1,89.33472267583218,8.690993984699952,0.3711825481992981,1.6031007912685697
296,8,2022,1,Entre Ríos,169391,16479,704,3040,189614,20221,0,2022Q1,89.33464828546416,8.690813969432638,0.3712806016433386,1.603257143459871
297,9,2022,1,Formosa,30216,2940,126,542,33824,20221,0,2022Q1,89.33301797540209,8.69205298013245,0.37251655629139074,1.6024124881740776
298,10,2022,1,Jujuy,43490,4231,181,780,48682,20221,0,2022Q1,89.33486709666816,8.691097325500186,0.3718006655437328,1.6022349122879094
299,11,2022,1,La Pampa,61301,5964,255,1100,68620,20221,0,2022Q1,89.33401340716992,8.691343631594288,0.3716117749927135,1.6030311862430777
